Date,Year,Volume,Issue,page,URL
Dec 24,2009,139,7,p1199-1376,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0026-7
Dec 11,2009,139,6,p1025-1198,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0025-5
Nov 25,2009,139,5,p831-1024,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0024-3
Nov 13,2009,139,4,p635-830,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0023-1
Oct 30,2009,139,3,p441-634,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0022-X
Oct 16,2009,139,2,p213-440,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0021-8
Oct 2,2009,139,1,p1-212,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0020-6
Sep 18,2009,138,6,p1035-1248,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0019-X
Sep 4,2009,138,5,p809-1034,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0018-8
Aug 21,2009,138,4,p607-808,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0017-6
Aug 7,2009,138,3,p405-606,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0016-4
Jul 23,2009,138,2,p211-404,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0015-2
Jul 10,2009,138,1,p1-210,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0014-0
Jun 26,2009,137,7,p1161-1358,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0013-9
Jun 12,2009,137,6,p975-1160,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0012-7
May 29,2009,137,5,p785-974,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0011-5
May 15,2009,137,4,p587-784,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0010-3
May 1,2009,137,3,p383-586,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0009-7
Apr 17,2009,137,2,p183-382,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0008-5
Apr 3,2009,137,1,p1-182,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0007-3
Mar 20,2009,136,6,p979-1172,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0006-1
Mar 6,2009,136,5,p795-978,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0005-X
Feb 20,2009,136,4,p567-794,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0004-8
Feb 6,2009,136,3,p381-566,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0003-6
Jan 23,2009,136,2,p189-380,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0002-4
Jan 9,2009,136,1,p1-188,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0029-7
Dec 26,2008,135,7,p1145-1324,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0028-5
Dec 12,2008,135,6,p975-1144,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0027-3
Nov 28,2008,135,5,p765-974,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0026-1
Nov 14,2008,135,4,p573-764,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0025-X
Oct 31,2008,135,3,p369-572,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0024-8
Oct 17,2008,135,2,p193-368,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0023-6
Oct 3,2008,135,1,p1-192,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0022-4
Sep 19,2008,134,6,p889-1080,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0021-2
Sep 5,2008,134,5,p695-888,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0020-0
Aug 22,2008,134,4,p549-694,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0019-4
Aug 8,2008,134,3,p367-548,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0018-2
Jul 25,2008,134,2,p191-366,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0017-0
Jul 11,2008,134,1,p1-190,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0016-9
Jun 27,2008,133,7,p1119-1292,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0015-7
Jun 13,2008,133,6,p931-1118,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0014-5
May 30,2008,133,5,p743-930,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0013-3
May 16,2008,133,4,p551-742,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0012-1
May 2,2008,133,3,p379-550,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0011-X
Apr 18,2008,133,2,p193-378,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0010-8
Apr 4,2008,133,1,p1-192,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0009-1
Mar 21,2008,132,6,p901-1062,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0008-X
Mar 7,2008,132,5,p713-900,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0007-8
Feb 22,2008,132,4,p501-712,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0006-6
Feb 8,2008,132,3,p325-500,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0005-4
Jan 25,2008,132,2,p163-324,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0735-4
Jan 11,2008,132,1,p1-162,http://www.cell.com/cell/issue?pii=S0092-8674(08)X0734-2
Dec 28,2007,131,7,p1205-1378,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0733-5
Dec 14,2007,131,6,p1019-1204,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0732-3
Nov 30,2007,131,5,p823-1018,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0731-1
Nov 16,2007,131,4,p613-822,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0730-X
Nov 2,2007,131,3,p421-612,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0729-3
Oct 19,2007,131,2,p193-420,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0728-1
Oct 5,2007,131,1,p1-192,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0727-X
Sep 21,2007,130,6,p959-1160,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0726-8
Sep 7,2007,130,5,p757-958,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0725-6
Aug 24,2007,130,4,p571-756,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0724-4
Aug 10,2007,130,3,p387-570,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0723-2
Jul 27,2007,130,2,p193-386,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0722-0
Jul 13,2007,130,1,p1-192,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0721-9
Jun 29,2007,129,7,p1231-1430,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0720-7
Jun 15,2007,129,6,p1025-1230,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0719-0
Jun 1,2007,129,5,p839-1024,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0718-9
May 18,2007,129,4,p633-838,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0717-7
May 4,2007,129,3,p435-632,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0716-5
Apr 20,2007,129,2,p221-434,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0715-3
Apr 6,2007,129,1,p1-220,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0714-1
Mar 23,2007,128,6,p1015-1246,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0713-X
Mar 9,2007,128,5,p803-1014,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0712-8
Feb 23,2007,128,4,p627-802,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0711-6
Feb 9,2007,128,3,p413-626,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0710-4
Jan 26,2007,128,2,p213-412,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0709-8
Jan 12,2007,128,1,p1-212,http://www.cell.com/cell/issue?pii=S0092-8674(07)X0708-6
Dec 29,2006,127,7,p1287-1468,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0707-9
Dec 15,2006,127,6,p1071-1286,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0706-7
Dec 1,2006,127,5,p859-1072,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0705-5
Nov 17,2006,127,4,p649-858,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0704-3
Nov 3,2006,127,3,p435-648,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0703-1
Oct 20,2006,127,2,p227-434,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0702-X
Oct 6,2006,127,1,p1-226,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0701-8
Sep 22,2006,126,6,p1005-1218,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0700-6
Sep 8,2006,126,5,p813-1004,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0699-2
Aug 25,2006,126,4,p627-812,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0698-0
Aug 11,2006,126,3,p427-626,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0697-9
Jul 28,2006,126,2,p219-426,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0696-7
Jul 14,2006,126,1,p1-218,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0695-5
Jun 30,2006,125,7,p1207-1400,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0694-3
Jun 13,2006,125,6,p1015-1206,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0693-1
Jun 2,2006,125,5,p815-1014,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0692-X
May 19,2006,125,4,p621-814,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0691-8
May 5,2006,125,3,p399-620,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0690-6
Apr 21,2006,125,2,p201-398,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0689-X
Apr 7,2006,125,1,p1-200,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0688-8
Mar 24,2006,124,6,p1089-1302,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0687-6
Mar 10,2006,124,5,p865-1088,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0686-4
Feb 24,2006,124,4,p649-864,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0685-2
Feb 10,2006,124,3,p437-648,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0684-0
Jan 27,2006,124,2,p221-436,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0683-9
Jan 13,2006,124,1,p1-220,http://www.cell.com/cell/issue?pii=S0092-8674(06)X0682-7
Dec 29,2005,123,7,p1161-1360,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0681-X
Dec 16,2005,123,6,p959-1160,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0680-8
Dec 2,2005,123,5,p713-958,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0679-1
Nov 18,2005,123,4,p539-712,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0678-X
Nov 4,2005,123,3,p359-538,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0677-8
Oct 21,2005,123,2,p173-358,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0676-6
Oct 7,2005,123,1,p1-172,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0675-4
Sep 23,2005,122,6,p817-970,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0674-2
Sep 9,2005,122,5,p645-816,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0673-0
Aug 26,2005,122,4,p487-644,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0672-9
Aug 12,2005,122,3,p317-486,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0671-7
Jul 29,2005,122,2,p147-316,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0670-5
Jul 15,2005,122,1,p1-146,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0669-9
Jul 1,2005,121,7,p963-1122,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0668-7
Jun 17,2005,121,6,p811-962,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0667-5
Jun 3,2005,121,5,p659-810,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0666-3
May 20,2005,121,4,p495-658,http://www.cell.com/cell/issue?pii=S0092-8674(05)X0665-1
May 6,2005,121,3,p319-494,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0666-6
Apr 22,2005,121,2,p155-318,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0665-4
Apr 8,2005,121,1,p1-154,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0664-2
Mar 25,2005,120,6,p729-900,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0663-0
Mar 11,2005,120,5,p569-728,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0662-9
Feb 25,2005,120,4,p435-568,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0660-5
Feb 11,2005,120,3,p287-434,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0659-9
Jan 28,2005,120,2,p153-285,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0658-7
Jan 14,2005,120,1,p1-151,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0657-5
Dec 29,2004,119,7,p901-1057,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0655-1
Dec 17,2004,119,6,p733-900,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0653-8
Nov 24,2004,119,5,p579-732,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0647-2
Nov 12,2004,119,4,p447-578,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0643-5
Oct 29,2004,119,3,p311-445,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0639-3
Oct 15,2004,119,2,p147-309,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0638-1
Oct 1,2004,119,1,p1-145,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0637-X
Sep 17,2004,118,6,p665-806,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0633-2
Sep 3,2004,118,5,p529-663,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0632-0
Aug 20,2004,118,4,p403-528,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0630-7
Aug 6,2004,118,3,p271-401,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0629-0
Jul 23,2004,118,2,p139-270,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0625-3
Jul 9,2004,118,1,p1-138,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0609-5
Jun 25,2004,117,7,p849-991,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0606-X
Jun 11,2004,117,6,p689-847,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0601-0
May 28,2004,117,5,p555-687,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0600-9
May 14,2004,117,4,p417-553,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0595-8
Apr 30,2004,117,3,p279-415,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0591-0
Apr 16,2004,117,2,p145-277,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0442-4
Apr 2,2004,117,1,p1-143,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0435-7
Mar 19,2004,116,6,p763-895,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0432-1
Mar 5,2004,116,5,p631-762,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0430-8
Feb 20,2004,116,4,p483-629,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0429-1
Feb 6,2004,116,3,p351-481,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0431-X
Jan 23,2004,116,2,p141-350,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0428-X
Jan 9,2004,116,1,p1-140,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0427-8
Dec 26,2003,115,7,p767-904,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0426-6
Dec 12,2003,115,6,p641-766,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0425-4
Nov 26,2003,115,5,p507-640,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0404-7
Nov 14,2003,115,4,p369-505,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0390-X
Oct 31,2003,115,3,p243-368,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0391-1
Oct 17,2003,115,2,p127-242,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0320-0
Oct 3,2003,115,1,p1-126,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0237-1
Sep 19,2003,114,6,p655-790,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0202-4
Sep 5,2003,114,5,p532-654,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0201-2
Aug 22,2003,114,4,p395-530,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0200-0
Aug 8,2003,114,3,p271-394,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0199-7
Jul 25,2003,114,2,p147-270,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0198-5
Jul 11,2003,114,1,p1-146,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0197-3
Jun 27,2003,113,7,p811-944,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0196-1
Jun 13,2003,113,6,p671-810,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0195-X
May 30,2003,113,5,p551-670,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0194-8
May 16,2003,113,4,p421-550,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0193-6
May 2,2003,113,3,p275-420,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0192-4
Apr 18,2003,113,2,p139-274,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0191-2
Apr 4,2003,113,1,p1-138,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0190-0
Mar 21,2003,112,6,p737-874,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0189-4
Mar 7,2003,112,5,p589-736,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0188-2
Feb 21,2003,112,4,p403-588,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0187-0
Feb 7,2003,112,3,p283-402,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0186-9
Jan 24,2003,112,2,p141-282,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0185-7
Jan 10,2003,112,1,p1-140,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0184-5
Dec 27,2002,111,7,p919-1056,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0182-1
Dec 13,2002,111,6,p759-918,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0183-3
Nov 27,2002,111,5,p603-758,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0181-X
Nov 15,2002,111,4,p445-602,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0180-8
Nov 1,2002,111,3,p281-444,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0179-1
Oct 18,2002,111,2,p143-280,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0178-X
Oct 4,2002,111,1,p1-142,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0177-8
Sep 20,2002,110,6,p661-802,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0176-6
Sep 6,2002,110,5,p537-660,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0175-4
