Date,Year,Volume,Issue,page,URL
Aug 23,2002,110,4,p399-536,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0174-2
Aug 9,2002,110,3,p273-398,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0173-0
Jul 26,2002,110,2,p135-272,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0172-9
Jul 12,2002,110,1,p1-134,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0171-7
Jun 28,2002,109,7,p793-924,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0170-5
Jun 14,2002,109,6,p663-792,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0169-9
May 31,2002,109,5,p537-662,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0168-7
May 17,2002,109,4,p409-536,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0167-5
May 3,2002,109,3,p267-408,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0166-3
Apr 19,2002,109,2,p137-266,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0165-1
Apr 5,2002,109,1,p1-136,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0162-6
Mar 22,2002,108,6,p727-876,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0163-8
Mar 8,2002,108,5,p583-726,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0160-2
Feb 22,2002,108,4,p431-582,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0161-4
Feb 8,2002,108,3,p297-430,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0159-6
Jan 25,2002,108,2,p135-296,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0158-4
Jan 11,2002,108,1,p1-134,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0157-2
Dec 28,2001,107,7,p815-942,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0610-1
Dec 14,2001,107,6,p689-813,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0155-9
Nov 30,2001,107,5,p551-688,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0154-7
Nov 16,2001,107,4,p411-550,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0153-5
Nov 2,2001,107,3,p259-410,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0152-3
Oct 19,2001,107,2,p125-258,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0151-1
Oct 5,2001,107,1,p1-124,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0150-X
Sep 21,2001,106,6,p647-796,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0149-3
Sep 7,2001,106,5,p523-646,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0147-X
Aug 24,2001,106,4,p391-522,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0146-8
Aug 10,2001,106,3,p255-390,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0144-4
Jul 27,2001,106,2,p129-253,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0145-6
Jul 13,2001,106,1,p1-128,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0143-2
Jun 29,2001,105,7,p817-972,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0141-9
Jun 15,2001,105,6,p697-816,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0142-0
Jun 1,2001,105,5,p559-696,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0140-7
May 18,2001,105,4,p417-558,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0139-0
May 4,2001,105,3,p293-416,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0138-9
Apr 20,2001,105,2,p161-292,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0137-7
Apr 6,2001,105,1,p1-160,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0020-7
Mar 23,2001,104,6,p801-948,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0019-0
Mar 9,2001,104,5,p631-800,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0018-9
Feb 23,2001,104,4,p465-629,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0017-7
Feb 9,2001,104,3,p321-464,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0016-5
Jan 26,2001,104,2,p173-320,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0015-3
Jan 12,2001,104,1,p1-172,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0014-1
Dec 22,2000,103,7,p993-1168,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0013-X
Dec 8,2000,103,6,p829-991,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0012-8
Nov 22,2000,103,5,p691-827,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0011-6
Nov 10,2000,103,4,p537-689,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0604-6
Oct 27,2000,103,3,p363-535,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0009-8
Oct 13,2000,103,2,p181-361,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0008-6
Sep 29,2000,103,1,p1-179,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0007-4
Sep 15,2000,102,6,p705-862,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0005-0
Sep 1,2000,102,5,p541-704,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0006-2
Aug 18,2000,102,4,p399-539,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0004-9
Aug 4,2000,102,3,p267-397,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0003-7
Jul 21,2000,102,2,p127-265,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0002-5
Jul 7,2000,102,1,p1-126,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0001-3
Jun 23,2000,101,7,p685-811,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0128-6
Jun 9,2000,101,6,p569-684,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0125-0
May 26,2000,101,5,p447-567,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0124-9
May 12,2000,101,4,p341-445,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0120-1
Apr 28,2000,101,3,p235-340,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0118-3
Apr 14,2000,101,2,p115-233,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0113-4
Mar 31,2000,101,1,p1-114,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0109-2
Mar 17,2000,100,6,p599-711,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0106-7
Mar 3,2000,100,5,p491-597,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0103-1
Feb 18,2000,100,4,p387-489,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0099-2
Feb 4,2000,100,3,p289-386,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0095-5
Jan 21,2000,100,2,p185-288,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0093-1
Jan 7,2000,100,1,p1-183,http://www.cell.com/cell/issue?pii=S0092-8674(00)X0090-6
Dec 18,2014,159,7,p1479-1712,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0026-7
Dec 4,2014,159,6,p1231-1478,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0025-5
Nov 20,2014,159,5,p957-1230,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0024-3
Nov 6,2014,159,4,p701-956,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0023-1
Oct 23,2014,159,3,p459-700,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0022-X
Oct 9,2014,159,2,p219-458,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0021-8
Sep 25,2014,159,1,p1-218,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0020-6
Sep 11,2014,158,6,p1213-1446,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0019-X
Aug 28,2014,158,5,p961-1212,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0018-8
Aug 14,2014,158,4,p691-960,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0017-6
Jul 31,2014,158,3,p465-690,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0016-4
Jul 3,2014,158,1,p1-228,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0014-0
Jun 19,2014,157,7,p1489-1738,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0013-9
Jun 5,2014,157,6,p1245-1488,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0012-7
May 22,2014,157,5,p993-1244,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0011-5
May 8,2014,157,4,p755-992,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0010-3
Apr 24,2014,157,3,p517-754,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0009-7
Apr 10,2014,157,2,p275-516,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0008-5
Mar 27,2014,157,1,p1-274,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0007-3
Mar 13,2014,156,6,p1115-1340,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0006-1
Feb 27,2014,156,5,p857-1114,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0005-X
Feb 13,2014,156,4,p621-856,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0004-8
Jan 30,2014,156,3,p377-620,http://www.cell.com/cell/issue?pii=S0092-8674(14)X0003-6
Dec 19,2013,155,7,p1435-1654,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0026-1
Dec 5,2013,155,6,p1191-1434,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0025-X
Nov 21,2013,155,5,p969-1190,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0024-8
Nov 7,2013,155,4,p729-968,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0023-6
Oct 24,2013,155,3,p483-728,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0022-4
Oct 10,2013,155,2,p257-482,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0021-2
Sep 26,2013,155,1,p1-256,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0020-0
Sep 12,2013,154,6,p1163-1402,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0019-4
Aug 29,2013,154,5,p941-1162,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0018-2
Aug 15,2013,154,4,p705-940,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0017-0
Aug 1,2013,154,3,p469-704,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0016-9
Jul 18,2013,154,2,p253-468,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0015-7
Jul 3,2013,154,1,p1-252,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0014-5
Jun 20,2013,153,7,p1409-1612,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0013-3
Jun 6,2013,153,6,p1169-1408,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0012-1
May 23,2013,153,5,p931-1168,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0011-X
May 9,2013,153,4,p723-930,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0010-8
Apr 25,2013,153,3,p495-722,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0009-1
Apr 11,2013,153,2,p273-494,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0008-X
Mar 28,2013,153,1,p1-272,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0007-8
Mar 14,2013,152,6,p1199-1390,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0006-6
Feb 28,2013,152,5,p925-1198,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0005-4
Feb 14,2013,152,4,p657-924,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0004-2
Jan 31,2013,152,3,p369-656,http://www.cell.com/cell/issue?pii=S0092-8674(13)X0003-0
Dec 21,2012,151,7,p1391-1634,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0026-6
Dec 7,2012,151,6,p1139-1390,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0025-4
Nov 21,2012,151,5,p919-1138,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0024-2
Nov 9,2012,151,4,p691-918,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0023-0
Oct 26,2012,151,3,p457-690,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0022-9
Oct 12,2012,151,2,p235-456,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0021-7
Sep 28,2012,151,1,p1-234,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0020-5
Sep 14,2012,150,6,p1085-1300,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0019-9
Aug 31,2012,150,5,p869-1084,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0018-7
Aug 17,2012,150,4,p663-868,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0017-5
Aug 3,2012,150,3,p443-662,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0016-3
Jul 20,2012,150,2,p235-442,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0015-1
Jul 6,2012,150,1,p1-234,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0014-X
Jun 22,2012,149,7,p1409-1650,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0013-8
Jun 8,2012,149,6,p1175-1408,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0012-6
May 25,2012,149,5,p951-1174,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0011-4
May 11,2012,149,4,p723-950,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0010-2
Apr 27,2012,149,3,p499-722,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0009-6
Apr 13,2012,149,2,p247-498,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0008-4
Mar 30,2012,149,1,p1-246,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0007-2
Mar 16,2012,148,6,p1069-1308,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0006-0
Mar 2,2012,148,5,p835-1068,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0005-9
Feb 17,2012,148,4,p625-834,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0004-7
Feb 3,2012,148,3,p379-624,http://www.cell.com/cell/issue?pii=S0092-8674(12)X0003-5
Dec 23,2011,147,7,p1423-1642,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0026-0
Dec 9,2011,147,6,p1199-1422,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0025-9
Nov 23,2011,147,5,p951-1198,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0024-7
Nov 11,2011,147,4,p707-950,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0023-5
Oct 28,2011,147,3,p477-706,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0022-3
Oct 14,2011,147,2,p249-476,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0021-1
Sep 30,2011,147,1,p1-248,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0020-X
Sep 16,2011,146,6,p843-1044,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0019-3
Sep 2,2011,146,5,p661-842,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0018-1
Aug 19,2011,146,4,p489-660,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0017-X
Aug 5,2011,146,3,p335-488,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0016-8
Jul 22,2011,146,2,p179-334,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0015-6
Jul 8,2011,146,1,p1-178,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0014-4
Jun 24,2011,145,7,p995-1158,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0013-2
Jun 10,2011,145,6,p801-994,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0012-0
May 27,2011,145,5,p637-800,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0011-9
May 13,2011,145,4,p485-636,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0010-7
Apr 29,2011,145,3,p325-484,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0009-0
Apr 15,2011,145,2,p163-324,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0008-9
Apr 1,2011,145,1,p1-162,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0007-7
Mar 18,2011,144,6,p827-1000,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0006-5
Mar 4,2011,144,5,p627-826,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0005-3
Feb 18,2011,144,4,p455-626,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0004-1
Feb 4,2011,144,3,p311-454,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0003-X
Jan 21,2011,144,2,p159-310,http://www.cell.com/cell/issue?pii=S0092-8674(11)X0002-8
Jan 7,2011,144,1,p1-158,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0027-7
Dec 23,2010,143,7,p1031-1192,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0026-5
Dec 10,2010,143,6,p849-1030,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0025-3
Nov 24,2010,143,5,p653-848,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0024-1
Nov 12,2010,143,4,p487-652,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0023-X
Oct 29,2010,143,3,p327-486,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0022-8
Oct 15,2010,143,2,p173-326,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0021-6
Oct 1,2010,143,1,p1-172,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0020-4
Sep 17,2010,142,6,p823-986,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0019-8
Sep 3,2010,142,5,p649-822,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0018-6
Aug 20,2010,142,4,p497-648,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0017-4
Aug 6,2010,142,3,p335-496,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0016-2
Jul 23,2010,142,2,p173-334,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0015-0
Jul 9,2010,142,1,p1-172,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0014-9
Jun 25,2010,141,7,p1089-1262,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0013-7
Jun 11,2010,141,6,p909-1088,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0012-5
May 28,2010,141,5,p731-908,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0011-3
May 14,2010,141,4,p551-730,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0010-1
Apr 30,2010,141,3,p371-550,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0009-5
Apr 16,2010,141,2,p193-370,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0008-3
Apr 2,2010,141,1,p1-192,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0007-1
Mar 19,2010,140,6,p755-952,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0006-X
Mar 5,2010,140,5,p591-754,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0005-8
Feb 19,2010,140,4,p437-590,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0004-6
Feb 5,2010,140,3,p295-436,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0003-4
Jan 22,2010,140,2,p163-294,http://www.cell.com/cell/issue?pii=S0092-8674(10)X0002-2
Jan 8,2010,140,1,p1-162,http://www.cell.com/cell/issue?pii=S0092-8674(09)X0027-9
